,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price,block_timestamp,gas_cost,gas_cost_usd
20,953,0xfad78bc2df018199d235bb6383e544f282baf41d3379d6249688dd21472f8760,51005,138,0x76e40d0a69fd81826b5eb7d18145626d46eafdef,0x4cb18386e5d1f34dc6eea834bf3534a970a3f8e7,40455,900000,12583004174,0x1cff79cd000000000000000000000000b29b9231798ac96625f94c60911bb862a3bcd9f6000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000001442a4b0d8f0000000000000000000000000000000000000000000000000000000000000bb8000000000000000000000000f629cbd94d3791c9250152bd8dfbdf380e2a3b9c000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000001259e75bc6298aa5000000000000000000000000000000000000000000005f0b669461208fb44800000000000000000000000000000000000000002f45c5a7304cdf6ac1e16cc5900000000000000000000000000000000000000000000000000001983691fdd1540000000000000000000000000000000000000000000000000000000062c230dc0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f4c8c9e2e290671e7f6b0e89d00000000000000000000000000000000000000000000000000000000,15875010,110057,,,1,15072756,0x057a2f280d6f955346361baf3d0f899061b0697366c5d4102b6f4c7b12d73f06,14899605008,1000000001,2,12583004174,1656893580,12.583004174,12.165084311615004
21,954,0x99358f012724dac3400dc100aea5677fa5efb0d8fb63e445e9e96a66495f27af,571,129,0xc89a66d97b4fae45761eb507b472d4cdc50627a6,0x0eae044f00b0af300500f090ea00027097d03000,0,346508,12937129107,0x00ec02c00e94cb662c3520282e6f5717214004a7f268880bc529c00c6401aef6d220be8c6ea1667f6ad93e1131503dcb60119a812fee820bb7042752019f23551b0000000000000540fd5f8e38600f0000000000007287547c5e2cd4d75026607ac599266b21d13c7acf7942c7701a8b699c010000000000007287547c5e2cd4d600000000000000fb487bcb62d4e118088ee5007c98a9677165d78dd2109ae4a3d04d0c1100000000000000fb487bcb62d4e0000000000000054f52c5c774cca7,13410022,23986,,,0,15072756,0x057a2f280d6f955346361baf3d0f899061b0697366c5d4102b6f4c7b12d73f06,12937129107,1735783584,2,12937129107,1656893580,12.937129107,4.815478533298111
22,951,0x166912d69ca5dae9256bc987290959622e714d72e250be9ea6e88d9305616660,35239,70,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,0x4d9079bb4165aeb4084c526a32695dcfd2f77381,0,168540,13383004173,0xac9650d800000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000001c0000000000000000000000000000000000000000000000000000000000000014489a153cc0000000000000000000000000c0858290b6b268a93fb557af06390a3460c5db60000000000000000000000008fd9252d27e66f336814d6e9714c6a75286fcb32000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000000b1fdaf3f3f400000000000000000000000000000000000000000000000000000b1fdaf3f3f40000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000a4b1000000000000000000000000000000000000000000000000000355c115371aa2000000000000000000000000000000000000000000000000006fd44fc02e595e0000000000000000000000000000000000000000000000000000000000006baf00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014489a153cc0000000000000000000000000c0858290b6b268a93fb557af06390a3460c5db60000000000000000000000001cb61b0c9f4923383085a0fe604f9994c7e032d5000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000000b1d77c5c2aa00000000000000000000000000000000000000000000000000000b1d77c5c2aa0000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000a4b1000000000000000000000000000000000000000000000000000355c1153712f0000000000000000000000000000000000000000000000000006459fb931d64ad0000000000000000000000000000000000000000000000000000000000006bb000000000000000000000000000000000000000000000000000000000,5565905,155229,,,1,15072756,0x057a2f280d6f955346361baf3d0f899061b0697366c5d4102b6f4c7b12d73f06,97249083364,1800000000,2,13383004173,1656893580,13.383004173,2.422952365181546
23,952,0x84dd10e954c2ee87d04cc5959d25338c9c3a18fddf699b7d557c40f74906d5da,9391,12,0x81ffd37ed3ab472f9bc1d3135d583dc594bf4795,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0,300014,21092245345,0x49c36c070000000000000000000000008661ae7918c0115af9e3691662f605e9c550ddc90000000000000000000000000000000000000000000000003d99efcbe41adc0000000000000000000000000000000000000000000726b9055b268ac00000000000000000000000000000000000000000000000000729675c78ff3180000000000000000000000000000000000000000000000000000000000000000000000000,986220,33786,,,0,15072756,0x057a2f280d6f955346361baf3d0f899061b0697366c5d4102b6f4c7b12d73f06,27393919046,9509241172,2,21092245345,1656893580,21.092245345,6.797553100079601
24,1185,0xbdf1b69380d3426b6fd5445339a7f2f934dce200e1d9f0823e8d2dbca06a01f8,5,257,0x3cc84950de9ad245b0ed087189cc671905b72fb8,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0,154653,11240910746,0x5ae401dc0000000000000000000000000000000000000000000000000000000062c237ee000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000016000000000000000000000000000000000000000000000000000000000000000e404e45aaf0000000000000000000000006810e776880c02933d47db1b9fc05908e5386b96000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000bb800000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000003782dace9d90000000000000000000000000000000000000000000000000000005b4b589163ebfef000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004449404b7c00000000000000000000000000000000000000000000000005b4b589163ebfef0000000000000000000000003cc84950de9ad245b0ed087189cc671905b72fb800000000000000000000000000000000000000000000000000000000,28895960,128525,,,1,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,18928775179,1200000000,2,11240910746,1656893700,11.240910746,1.8690926332221558
25,1184,0x1e6f1eeb54e94e0ba1c4f2fbc8c4803c34e4f43693f806f3a4c02bd9e6636430,96,31,0x0d026cb5100533e189c5031edcf2d56e5d1a38c6,0x5b003b8a7ddc04ccf873cd098647dd525ad5e854,0,50889,16000000000,0xa22cb465000000000000000000000000f849de01b080adc3a814fabe1e2087475cf2e3540000000000000000000000000000000000000000000000000000000000000001,3507038,46263,,,1,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,16000000000,16000000000,2,16000000000,1656893700,16.0,0.8754167998632516
26,1182,0x9976e5efa4ef783c464cb3869ec0cfd9ef53976e14fa4c09bf994bb12a3a7003,1130,258,0x45ce93d93717be2926a062400e1b39ae188ff8f5,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,52487357337509310,286173,11170376318,0xf7a1696300000000000000000000000000000000000000000000000000000000000000c000000000000000000000000045ce93d93717be2926a062400e1b39ae188ff8f5000000000000000000000000000000000000000000000000000000000026858cec82522112d37f81db2b3f2d85f3618b66fe0218f6de56c2f4d6955d61de58680000000000000000000000004976fb03c32e5b8cfe2b6ccb31c09ba78ebaba4100000000000000000000000045ce93d93717be2926a062400e1b39ae188ff8f50000000000000000000000000000000000000000000000000000000000000009e2a0a2e2a0b4e2a0b40000000000000000000000000000000000000000000000,29151301,255341,,,1,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,11170376318,1372009873,2,11170376318,1656893700,11.170376318,3.4369042877488676
27,1183,0x5a1ef9d041da926a8f2cb1ce2f505925bb72aeded1d271c5e504a759e1d81ca5,86,29,0xe9add8a17aa5ba8c02ebd7e40850d3d0fe6c778c,0x5b003b8a7ddc04ccf873cd098647dd525ad5e854,0,50889,16000000000,0xa22cb465000000000000000000000000f849de01b080adc3a814fabe1e2087475cf2e3540000000000000000000000000000000000000000000000000000000000000001,3414512,46263,,,1,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,16000000000,16000000000,2,16000000000,1656893700,16.0,0.8754167998632516
28,1188,0xe1c0b2db5a35a439ee78279c2c34f865a7ece04993873b37cc872edfe65bd9ea,12252,24,0xa9264494a92ced04747ac84fc9ca5a0b9549b491,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,10669596607896012000,21000,16040910746,0x,2448632,21000,,,1,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,300000000000,6000000000,2,16040910746,1656893700,16.040910746,0.3621756885025038
29,1187,0x1145d50354121b71b715f34aa3a7ffed03e6383ff11e303cda2dbcf30becd307,17,25,0xc45cd518a02c723df0c587c9460a4052834a0092,0xe66b31678d6c16e9ebf358268a790b763c133750,18629779702855013,840000,16000000000,0x5cf5402600000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000000000000000000000000000000041863fc36b0a9f00000000000000000000000055296f69f40ea6d20e478533c15a6b08b654e7580000000000000000000000000000000000000000000000000000a96fd603aac60000000000000000000000000000000000000000000000000000000000000628415565b0000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee00000000000000000000000055296f69f40ea6d20e478533c15a6b08b654e7580000000000000000000000000000000000000000000000000041863fc36b0a9f000000000000000000000000000000000000000000001af69bbad9637135036e00000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000003e0000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000040000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000000000000000000000000000000041863fc36b0a9f00000000000000000000000000000000000000000000000000000000000000180000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000028000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000055296f69f40ea6d20e478533c15a6b08b654e75800000000000000000000000000000000000000000000000000000000000001200000000000000000000000000000000000000000000000000000000000000240000000000000000000000000000000000000000000000000000000000000024000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000041863fc36b0a9f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000003556e69737761700000000000000000000000000000000000000000000000000000000000000000000041863fc36b0a9f000000000000000000000000000000000000000000001af69bbad9637135036e00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000020000000000000000000000000c0a47dfe034b400b47bdad5fecda2621de6c4d95000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000000000000000000000000000000000000000000000869584cd000000000000000000000000382ffce2287252f930e1c8dc9328dac5bf282ba10000000000000000000000000000000000000000000000cc5ebb34a362c23104000000000000000000000000000000000000000000000000,3229460,780828,,,0,15072766,0xe77ede483e8b63f652552f32961f130bd637152e1bfd8c0d32378d74315d4120,16000000000,7000000000,2,16000000000,1656893700,16.0,14.450079818529177
